code,name,filing_fee_usd,filing_form,first_year_annual_report_fee,annual_report_fee,annual_report_cadence,franchise_tax_year_one,franchise_tax_ongoing,processing_days_standard,processing_days_expedite,expedite_fee,publication_required,publication_est_cost,sos_url,last_verified_date
NJ,New Jersey,125,Certificate of Formation,75,75,annual,150,150,1,1,25,false,,https://www.nj.gov/treasury/revenue/busreg.shtml,2026-04-28
NM,New Mexico,50,Articles of Organization,0,0,none,0,0,14,2,100,false,,https://www.sos.nm.gov/business-services/,2026-05-24
NV,Nevada,75,Articles of Organization,350,350,annual,0,0,1,1,125,false,,https://www.nvsos.gov/sos/businesses/commercial-recordings/forms-fees,2026-05-23
NY,New York,200,Articles of Organization,0,9,biennial,0,0,7,1,25,true,1600,https://dos.ny.gov/,2026-05-17
OH,Ohio,99,Form 533A (Articles of Organization),0,0,none,0,0,5,1,100,false,,https://www.ohiosos.gov/businesses/filing-forms-fee-schedule/,2026-04-28
OK,Oklahoma,104,Articles of Organization,25,25,annual,0,0,3,1,25,false,,https://www.sos.ok.gov/business/,2026-05-17
OR,Oregon,100,Articles of Organization,100,100,annual,0,0,1,1,0,false,,https://sos.oregon.gov/business/Pages/default.aspx,2026-05-24
PA,Pennsylvania,125,Certificate of Organization,0,7,decennial,0,0,7,2,100,false,,https://www.dos.pa.gov/BusinessCharities/Business/Pages/default.aspx,2026-05-24
RI,Rhode Island,156,Articles of Organization,50,50,annual,400,400,1,1,0,false,,https://sos.ri.gov/business/business-basics/costs-and-fees,2026-05-24
SC,South Carolina,110,Articles of Organization,0,0,none,0,0,1,1,0,false,,https://sos.sc.gov/business-filings,2026-04-28
SD,South Dakota,150,Articles of Organization,55,55,annual,0,0,0,0,0,false,,https://sdsos.gov/business-services/,2026-05-25
TN,Tennessee,300,Articles of Organization,300,300,annual,100,100,0,0,0,false,,https://sos.tn.gov/business-services,2026-05-25
TX,Texas,300,Form 205 (Certificate of Formation),0,0,annual-info-only,0,0,7,2,25,false,,https://www.sos.state.tx.us/corp/forms_option.shtml,2026-05-25
UT,Utah,59,Certificate of Organization,18,18,annual,0,0,1,2,75,false,,https://corporations.utah.gov/,2026-05-25
VA,Virginia,100,Form LLC-1011 (Articles of Organization),50,50,annual,0,0,7,1,100,false,,https://www.scc.virginia.gov/pages/Business-Entities,2026-05-25
VT,Vermont,155,Articles of Organization,45,45,annual,250,250,1,1,0,false,,https://sos.vermont.gov/business-services/domestic-formation/limited-liability-company/,2026-05-02
WA,Washington,180,Certificate of Formation (online),60,60,annual,0,0,5,2,50,false,,https://sos.wa.gov/corps/,2026-05-25
WI,Wisconsin,130,Articles of Organization (Form 502),25,25,annual,0,0,0,1,25,false,,https://dfi.wi.gov/Pages/Home.aspx,2026-05-02
WV,West Virginia,100,Articles of Organization,0,25,annual,0,0,5,1,25,false,,https://business4wv.gov/,2026-05-25
WY,Wyoming,100,Articles of Organization,60,60,annual,0,0,14,1,50,false,,https://sos.wyo.gov/Business/StartABusiness.aspx,2026-05-19
